FID,disso,ORIG_FID,POINT_X,POINT_Y
450,0,0,731257.789855999990000,4612701.725150000300000
451,0,0,731278.004700000050000,4612646.668999999800000
452,0,0,731278.004700000050000,4612616.668999999800000
453,0,0,731354.088683999960000,4612597.142629999700000
454,0,0,731368.004700000050000,4612406.668999999800000
455,0,0,731357.926575000050000,4612356.747120000400000
456,0,0,731338.004700000050000,4612316.668999999800000
457,0,0,731338.004700000050000,4612286.668999999800000
458,0,0,731348.082825000050000,4612236.747120000400000
459,0,0,731368.004700000050000,4612196.668999999800000
460,0,0,731444.088683999960000,4612177.142629999700000
461,0,0,731458.004700000050000,4611986.668999999800000
462,0,0,731458.004700000050000,4611956.668999999800000
463,0,0,731505.934388000050000,4611932.425839999700000
464,0,0,731518.004700000050000,4611836.668999999800000
465,0,0,731531.891418999990000,4611760.552059999700000
466,0,0,731608.004700000050000,4611626.668999999800000
467,0,0,731608.004700000050000,4611506.668999999800000
468,0,0,731608.004700000050000,4611476.668999999800000
469,0,0,731620.529114000030000,4611369.193409999800000
470,0,0,731726.993957999980000,4611307.468560000000000
471,0,0,731686.198058999960000,4611101.046439999700000
472,0,0,731783.961730999990000,4610973.037410000300000
473,0,0,731808.937317000000000,4610846.668999999800000
474,0,0,731790.743957999980000,4610754.610890000100000
475,0,0,731835.480285999950000,4610684.144589999700000
476,0,0,731848.004700000050000,4610636.668999999800000
477,0,0,731878.004700000050000,4610636.668999999800000
478,0,0,731878.004700000050000,4610486.668999999800000
479,0,0,731878.004700000050000,4610426.668999999800000
480,0,0,731954.117980999990000,4610292.785939999900000
481,0,0,731981.891418999990000,4610110.552059999700000
482,0,0,732014.117980999990000,4610052.785939999900000
483,0,0,732028.004700000050000,4610006.668999999800000
484,0,0,732117.711730999990000,4609944.735410000200000
485,0,0,732148.004700000050000,4609826.668999999800000
486,0,0,732148.004700000050000,4609796.668999999800000
487,0,0,732178.004700000050000,4609736.668999999800000
488,0,0,732208.004700000050000,4609736.668999999800000
489,0,0,732208.004700000050000,4609706.668999999800000
490,0,0,732208.004700000050000,4609616.668999999800000
491,0,0,732238.004700000050000,4609616.668999999800000
492,0,0,732238.004700000050000,4609586.668999999800000
493,0,0,732312.081847999940000,4609567.655330000400000
494,0,0,732328.004700000050000,4609466.668999999800000
495,0,0,732358.004700000050000,4609406.668999999800000
496,0,0,732358.004700000050000,4609376.668999999800000
497,0,0,732375.758605999990000,4609364.415579999800000
498,0,0,732400.250793999990000,4609268.922419999700000
499,0,0,732448.004700000050000,4609196.668999999800000
500,0,0,732478.004700000050000,4609196.668999999800000
501,0,0,732478.004700000050000,4609166.668999999800000
502,0,0,732508.004700000050000,4609166.668999999800000
503,0,0,732555.758605999990000,4609154.415579999800000
504,0,0,732580.250793999990000,4609058.922419999700000
505,0,0,732639.855285999950000,4608967.406299999900000
506,0,0,732676.051575000050000,4608826.349179999900000
507,0,0,732765.758605999990000,4608764.415579999800000
508,0,0,732778.004700000050000,4608746.668999999800000
509,0,0,732808.004700000050000,4608746.668999999800000
510,0,0,732808.004700000050000,4608716.668999999800000
