FID,fire1984_6,Area_Acres
70,2004FREDS,4025.079397640000000
71,2004IRONGATE,914.024154963000000
72,2004POWER,6499.716493830000200
73,2004STRAYLOR,1551.764184720000000
74,2005HARDING,1318.393786280000100
75,2005HORSESHOE,4.001855916160000
76,2006BASSETTS,798.854049089999990
77,2006BOULDER_CMPLX,1487.849024500000000
78,2006CREEK_INCIDENT,797.975414941000050
79,2006HIGH,133.173607828000000
80,2006HOTLUM,1287.406561320000000
81,2006RALSTON,846.586940092999950
82,2006SAGE,2655.584510279999900
83,2007ANGORA,1746.566097640000000
84,2007ANTELOPE_CMPLX,13244.600542800001000
85,2007FLETCHER,6012.948692600000000
86,2007HAWKEN,1695.614211450000100
87,2007MOONLIGHT,39739.378152199999000
88,2007POWER,788.135916551000040
89,2008BEAR,0.889303623380000
90,2008COLD,3311.371476310000200
91,2008CORRAL,4614.183812530000100
92,2008CRAIG,756.520616516000020
93,2008CUB,3224.867656810000000
94,2008FALL,489.441968350000020
95,2008FOX,101.685836309000000
96,2008FRIENDDARNELL,1642.928620590000000
97,2008GOVERNMENT,5422.665884369999700
98,2008LITTLE,4.446791678380000
99,2008ONION2,1044.044665460000000
100,2008PETERSONCMPLX,1823.267942949999900
101,2008PIT,14552.311432700000000
102,2008RICH,2395.009407749999800
103,2008SCOTCH,1919.483718460000100
104,2008SCOTCHMAN,217.225655106999990
105,2008SMOKEY,302.116679255000010
106,2008VENTURE,1102.314666750000000
107,2009BROWN,798.950122248999950
108,2009CASSEL,3676.725666089999800
109,2009CHALK,1232.733893110000100
110,2009FAIRFIELD,86.039739645400005
111,2009GOOSE,969.347521566999940
112,2009SUGARLOAF,5297.925130360000400
113,2009TENNANT,2157.418222859999800
114,2009YUBA,496.973377568999980
115,2010BAR,76.344975720299999
116,2010BULLARDS,272.749062912000000
117,2010CONSTANTIA,951.469207988999980
118,2011COUGAR,1230.928512239999900
119,2011MAMMOTH,6.002605936100000
120,2011SCORPION,600.924896908000050
121,2012BARRY_POINT,21915.706042900001000
122,2012CHIPS,20615.786450299998000
123,2012LAKE,511.675228559000000
124,2012LIKLEY,5971.183195339999700
125,2012MILL_CDF,249.689533251999990
126,2012PONDEROSA,15367.698707300000000
127,2012READING,10923.258747500000000
128,2012ROBBERS,511.059939426000030
129,2012RUSH,25468.465088199999000
130,2013AMERICAN,9484.420874550000000
131,2013PANTHER,2245.066713050000100
132,2014BALD,21073.361235500000000
133,2014DAY,9331.407851500000100
134,2014EILER,21638.077892699999000
135,2014GULCH_MDF,712.287589326999980
136,2014KING,51202.397245599997000
137,2014LITTLE_DEER,3018.570546070000100
138,2014OREGON_GULCH,6134.976314620000300
139,2015FROG,2183.348177190000100
140,2015LOWELL,867.152227659999990
141,2015LUMPKIN,423.912182599999990
142,2016SOUP_CMPLX,665.324293143999970
143,2016TRAILHEAD,1583.957083860000000
144,2016WILLARD,1598.659006910000000
145,2017BERRY,254.944211730000010
146,2017COVE,13075.441890500000000
147,2017LAKE,3942.137536939999800
148,2017MINERVA5,639.135653362999960
149,2017PARKER2,2327.128956090000000
150,2017PONDEROSA,2123.975816650000100
151,2017RIMROCK,903.703304495000000
152,2017STEELE,19618.227427300000000
153,CAMP,11043.460460900000000
154,CAPLES,52.322000675200002
155,EAGLE,70.077380579899994
156,HAT,191.365631119999990
157,KLAMATHON,2164.903835720000200
159,NORTH,643.943417217000050
160,STONE,2609.201525150000200
161,WALKER,8092.075280660000300
162,WHALEBACK,1962.082429630000000
